Timestamp,instructions,cpu-cycles
     0.100131960,888743598,894017764
     0.200514397,525701423,464398160
     0.304012878,379995543,226422148
     0.404197957,1202196349,1170709784
     0.504399349,535793115,318345841
     0.604546981,416190630,169866954
     0.704699449,416888819,169875463
     0.804853201,368155691,172827807
     0.905018982,1183447352,1164670703
     1.005237548,577244546,378929852
     1.105395881,417805032,169887725
     1.205543786,414125960,169866363
     1.305702409,375192649,172777577
     1.405864376,1266022797,1239734015
     1.506106219,566950776,363913361
     1.606227125,413290279,169821752
     1.706384411,415198638,169883480
     1.806535170,373508835,174037888
     1.906684008,1128618995,1090887506
     2.006849138,671536667,508350383
     2.106996922,417964169,169867104
     2.207141000,411660120,169861053
     2.307268145,274567020,138907004
     2.407419043,28417114,17813641
     2.507597040,36017,249124
     2.607793694,35883,201184
     2.707977174,35788,258189
     2.808171388,36193,276260
     2.908375238,1115549,1625355
     3.008631569,671201,2316915
     3.108835124,36279,253811
     3.209146464,312328,1120862
     3.309395028,261031212,129715343
     3.409547669,1113545167,1041301561
     3.509705495,788356989,635520265
     3.609843354,417467762,169850780
     3.709977036,418675150,169842408
     3.810122984,396951378,172866716
     3.910277632,910657226,829783276
     4.010437861,832641401,716807111
     4.110562831,407781855,169828734
     4.210716066,415407146,169876795
     4.310869958,404192871,173090520
     4.411021902,918951847,752183588
     4.511175101,901018052,695456023
     4.611307570,413120037,169840454
     4.711444530,408840714,169847340
     4.811596706,380345966,172986124
     4.911748108,1234303738,1200370577
     5.012004744,604092072,407017512
     5.112146785,413657727,169858231
     5.212282017,417043522,169845935
     5.312437905,210485562,100370057
     5.412617729,35782,242608
     5.512818663,7794439,3993448
     5.613023527,371982609,197573098
     5.713230086,1343825458,1333981346
     5.813458341,469518313,230824930
     5.913596687,414628974,169850087
     6.013789434,399159687,169940467
     6.114003058,367064591,173292481
     6.214153385,1240062054,1208671230
     6.314405155,600569201,402091011
     6.414549689,414212165,169862081
     6.514689902,417412085,169855508
     6.614835616,380808990,172877053
     6.714985756,1301090271,1283908549
     6.815149356,535531421,327720365
     6.915282802,383663473,169842487
     7.015426390,384072572,169859358
     7.115595954,380387848,172681077
